segmentDuration=2
numberOfSegments=298
AvgSigma/mu=0.041367296119656
reprId,QualityIndex,screenWidth,screenHeight,bitrate,sigma/mu,avgchunksize
1,0.25,480,360,80,0.0470065072288359,124.936053691275
2,0.50,480,360,165,0.0387431033244563,252.830067114094
3,0.75,480,360,375,0.0354448182241559,583.462093959732
4,1.00,480,360,730,0.0369201955966515,1099.11283221477
5,0.17,1280,720,300,0.0459299846170403,612.372483221476
6,0.33,1280,720,420,0.0419317129876795,814.156832214765
7,0.50,1280,720,585,0.0388625623822102,1095.73594630872
8,0.67,1280,720,920,0.0356634458851894,1674.82655033557
9,1.83,1280,720,1500,0.0340392878281805,2672.29157046980
10,1.00,1280,720,2350,0.0345314429329601,4068.04303355705
11,0.125,1920,1080,350,0.0585012656841168,970.322362416108
12,0.250,1920,1080,470,0.0538216576563194,1187.94389261745
13,0.375,1920,1080,630,0.0493680511156428,1479.61259060403
14,0.500,1920,1080,875,0.0459064981730999,1880.63154362416
15,0.625,1920,1080,1130,0.0430111935057322,2427.11495302014
16,0.750,1920,1080,1520,0.0405682573935096,3197.75307382551
17,0.875,1920,1080,2040,0.0390528773049721,4252.67978523490
18,1.000,1920,1080,2750,0.0384114751124629,5654.20193288591
